ID,name,sort.name,Gender
8006,Wolfgang Amadeus Mozart,"Mozart, Wolfgang Amadeus",Male
7771,Wallace Irwin,"Irwin, Wallace",Male
7684,Evan Charteris,"Charteris, Evan",Male
7172,Emory Holloway,"Holloway, Emory",Male
9838,Arthur William Conway,"Conway, Arthur William",Male
7930,Gerard Fairlie,"Fairlie, Gerard",Male
7144,R. Osborn,"Osborn, R.",Male
7334,Robert James Fletcher,"Fletcher, Robert James",Male
7410,George Ade,"Ade, George",Male
7703,Thomas James Wise,"Wise, Thomas James",Male
6496,G. E. R. Geyde,"Geyde, G. E. R.",Male
8227,William Douglas Robson-Scott,"Robson-Scott, William Douglas",Male
7670,William Clark Russell,"Russell, William Clark",Male
8267,William Black,"Black, William",Male
8170,William Aspenwall Bradley,"Bradley, William Aspenwall",Male
6929,James Tucker / Ralph Rashleigh,"Tucker, James",Male
5721,A. E. Coppard,"Coppard, A. E.",Male
7979,Joseph Quincy Adams,"Adams, Joseph Quincy",Male
7739,Richard Heron Ward,"Ward, Richard Heron",Male
8027,Ian Duncan Colvin,"Colvin, Ian Duncan",Male
9649,Karel Capek,"Capek, Karel",Male
6287,Charles Cestre,"Cestre, Charles",Male
5705,Sigmund Freud,"Freud, Sigmund",Male
9853,Federico García Lorca,"Lorca, Federico García",Male
8188,Heinrich Heine,"Heine, Heinrich",Male
7069,Hermann Graf von Keyserling,"Keyserling, Hermann von",Male
6388,Franz Werfel,"Werfel, Franz",Male
6096,Oscar Wilde,"Wilde, Oscar",Male
626,Richard Wright,"Wright, Richard",Male
6565,James Hanley,"Hanley, James",Male
5419,William Empson,"Empson, William",Male
6861,DuBose Heyward,"Heyward, DuBose",Male
5727,W. E. B. Du Bois,"Du Bois, W. E. B.",Male
6770,Charles Singer,"Singer, Charles",Male
10445,Seumas O'Sullivan,"O'Sullivan, Seumas",Male
10502,W. H. D. Rouse,"Rouse, W. H. D.",Male
8075,Sir Reginald Fleming Johnston,"Johnston, Reginald Fleming, Sir,",Male
539,Marcel Thiébaut,"Thiébaut, Marcel",Male
6900,Robert Myron Coates,"Coates, Robert Myron",Male
6906,Alfred Noyes,"Noyes, Alfred",Male
10409,Glenn Hughes,"Hughes, Glenn",Male
7958,Thorne Smith,"Smith, Thorne",Male
6049,C. B. Wheeler,"Wheeler, C. B.",Male
6293,Ernest A. Baker,"Baker, Ernest A.",Male
8057,Harvey Jerrold O'Higgins,"O'Higgins, Harvey Jerrold",Male
5608,Maurice Magnus,"Magnus, Maurice",Male
7065,George Anslie Hight,"Hight, George Ainslie",Male
7909,Carlton J. H. Hayes,"Hayes, Carlton J. H.",Male
7274,Richard Wilson Webb / Q. Patrick (pseudonym),"Webb, Richard Wilson",Male
6068,William Wordsworth,"Wordsworth, William",Male
6633,Ralph Bates,"Bates, Ralph",Male
6987,Herbert Andrews Newell,"Newell, Herbert Andrews",Male
7899,Alexander Laing,"Laing, Alexander",Male
10256,Francis P. Donnelly,"Donnelly, Francis P.",Male
6545,Dennis Wheatley,"Wheatley, Dennis",Male
5973,W. L. George,"George, Walter Lionel",Male
6927,Harold Hunter Armstrong / Henry G. Aikman (pseudonym),"Aikman, Henry G.",Male
10454,Oliver Pilat,"Pilat, Oliver",Male
6291,Henri Dupré,"Dupré, Henri",Male
8100,J. B. Bury,"Bury, J. B.",Male
188,David Gascoyne,"Gascoyne, David",Male
6626,Kenneth Grahame,"Grahame, Kenneth",Male
7059,Edward Lear,"Lear, Edward",Male
5427,Bertrand Russell,"Russell, Bertrand",Male
6124,Lytton Strachey,"Strachey, Giles Lytton",Male
5701,Voltaire,Voltaire,Male
7936,Sidney Howard,"Howard, Sidney Coe",Male
7031,James Hilton,"Hilton, James",Male
5712,Edgar Snow,"Snow, Edgar",Male
6868,Jacques Boulenger,"Boulenger, Jacques",Male
8110,Ugo Ojetti,"Ojetti, Ugo",Male
10496,Ivan Petrovich Pavlov / Иван Петрович Павлов,"Pavlov, Ivan",Male
9979,Léon Pierre-Quint,"Pierre-Quint, Léon",Male
6789,Thomas Lodge,"Lodge, Thomas",Male
7554,James Strachey,"Strachey, James",Male
8020,F. Elrington Ball,"Ball, F. Elrington",Male
6547,Hugh Kingsmill,"Kingsmill, Hugh",Male
9937,Edgar James Swift,"Swift, Edgar James",Male
8016,Egerton Castle,"Castle, Egerton",Male
5663,James Huneker,"Huneker, James",Male
460,Jules Romains,"Romains, Jules",Male
7961,Edwin Sidney Hartland,"Hartland, Edwin Sidney",Male
7298,Charles Gilman Norris,"Norris, Charles Gilman",Male
5401,Herbert Sherman Gorman,"Gorman, Herbert Sherman",Male
5884,Michael Roberts,"Roberts, Michael",Male
7516,Daniel Gregory Mason,"Mason, Daniel Gregory",Male
9926,Karl Mantzius,"Mantzius, Karl",Male
6368,Thomas Boyd,"Boyd, Thomas",Male
6645,Isaac Disraeli,"Disraeli, Isaac",Male
7569,Monk Gibbon,"Gibbon, Monk",Male
10128,Léopold-Émile Reutlinger,"Reutlinger, Léopold-Émile",Male
7725,Gelett Burgess,"Burgess, Gelett",Male
7430,Thomas Fowler,"Fowler, Thomas",Male
6331,Walter S. Masterman,"Masterman, Walter Sydney",Male
7217,Charles Whibley,"Whibley, Charles",Male
7085,Bernard Holland,"Holland, Bernard",Male
7146,Godfrey Elton,"Elton, Godfrey, Baron",Male
6916,Humbert Wolfe,"Wolfe, Humbert",Male
7420,Edward Abbott Parry,"Parry, Edward Abbott, Sir",Male
2537,Jan Gordon,"Gordon, Jan",Male
9712,Brinsley Nicholson,"Nicholson, Brinsley",Male
7408,Thomas Wright,"Wright, Thomas",Male
6115,Standish O'Grady,"O'Grady, Standish James",Male
7800,John Franklin Carter / Diplomat (pseudonym),Diplomat,Male
9881,Montgomery Belgion,"Belgion, Montgomery",Male
8266,Theodore Maynard,"Maynard, Theodore",Male
7610,Lowell Thomas,"Thomas, Lowell",Male
7960,Joseph Mary Flood,"Flood, Joseph Mary",Male
7704,Robert Alexander Brady,"Brady, Robert Alexander",Male
6850,Bruce Richmond,"Richmond, Bruce",Male
5455,Sherwood Anderson,"Anderson, Sherwood",Male
8250,Noel Coward,"Coward, Noel",Male
5777,Daniel Defoe,"Defoe, Daniel",Male
6129,William Faulkner,"Faulkner, William",Male
9880,Ramón Fernández,"Fernández, Ramón",Male
5894,Sinclair Lewis,"Lewis, Sinclair",Male
6384,Frederick Marryat,"Marryat, Frederick",Male
8383,Andrew Marvell,"Marvell, Andrew",Male
6714,Joshua Slocum,"Slocum, Joshua",Male
7809,Friedrich Reck-Malleczewen,"Reck-Malleczewen, Fritz Percy",Male
6095,John Webster,"Webster, John",Male
6276,B. H. Liddell Hart,"Liddell Hart, Basil Henry",Male
5825,Thomas Carlyle,"Carlyle, Thomas",Male
5438,Desmond MacCarthy,"MacCarthy, Desmond",Male
8166,Boniface de Castellane,"Castellane, Boniface de",Male
7452,Frank O'Connor,"O'Connor, Frank",Male
513,Stephen Spender,"Spender, Stephen",Male
6990,Thomas Dekker,"Dekker, Thomas",Male
6776,Waldo Frank,"Frank, Waldo",Male
6940,Hjalmar Bergman,"Bergman, Hjalmar",Male
6604,Philip Massinger,"Massinger, Philip",Male
6930,Oliver Lodge,"Lodge, Oliver",Male
2378,Lincoln Steffens / Mr. Lincoln Stephan,"Steffens, Lincoln",Male
6647,E. M. W. Tillyard,"Tillyard, E. M. W.",Male
5512,Julian Huxley,"Huxley, Julian",Male
7064,Houston Stewart Chamberlain,"Chamberlain, Houston Stewart",Male
